country,order_value_eur,cost,date,category,customer_name,sales_manager,sales_rep,device_type,order_id
Finland,25816.05,21447.97,2019-09-08,Clothing,Smith Group,Hube Corey,Mellicent Mattys,Mobile,95-7886861
Portugal,154072.89,121887.06,2020-09-30,Beauty,"Rowe, Hermiston And Kessler",Celine Tumasian,Smitty Culverhouse,Pc,19-3013452
Finland,194962.05,154975.33,2020-07-05,Appliances,"Rowe, Hermiston And Kessler",Hube Corey,Mellicent Mattys,Pc,54-5082146
Portugal,60744.83,52805.48,2020-03-19,Smartphones,Gislason-Stanton,Celine Tumasian,Brynn Dempster,Pc,69-4462108
Sweden,39313.39,34273.41,2020-10-10,Beauty,Corwin And Sons,Maxie Marrow,Anita Woakes,Mobile,68-3731565
France,119820.82,98289.02,2019-06-16,Appliances,Considine-Fisher,Othello Bowes,Amelina Piscopiello,Pc,82-2972108
Uk,129485.51,112794.83,2019-01-05,Appliances,Mcglynn-Prosacco,Jessamine Apark,Jay Morefield,Pc,15-2503493
Italy,163203.64,140893.7,2019-06-21,Smartphones,"Swaniawski, Runolfsson And Green",Piggy Roscrigg,Joshua Prevost,Pc,37-0857161
France,62788.04,53049.61,2020-02-13,Appliances,Altenwerth-Konopelski,Othello Bowes,Avrit Chanders,Pc,71-2709641
Portugal,148037.71,117867.62,2020-04-14,Electronics,Romaguera-Dietrich,Celine Tumasian,Corene Shirer,Pc,10-5899580
Ireland,55539.67,45620.29,2020-03-21,Electronics,Altenwerth-Konopelski,Glenine Suttaby,Palm Wetherald,Pc,10-9241948
France,150135.0,131067.85,2020-09-09,Smartphones,Larkin-Collier,Othello Bowes,Avrit Chanders,Pc,68-0080728
Ireland,85294.3,72662.21,2020-03-25,Beauty,"Zieme, Bailey And Herzog",Glenine Suttaby,Bunnie Tonbridge,Pc,47-0640313
Luxembourg,136079.62,119178.53,2019-08-29,Games,West-Cummings,Ilsa Kob,Jocelyn Laurentino,Pc,37-6597365
Finland,186397.6,161233.92,2020-12-04,Appliances,Friesen And Sons,Hube Corey,Mellicent Mattys,Mobile,13-0833129
Germany,32695.37,26375.35,2020-11-28,Accessories,Johns And Sons,Rickard Doogood,Casie Macbain,Mobile,15-2994585
France,86077.83,72288.16,2019-11-03,Appliances,Johns And Sons,Othello Bowes,Amelina Piscopiello,Pc,85-7784608
Sweden,72885.55,59773.44,2020-12-29,Clothing,Johns And Sons,Maxie Marrow,Anita Woakes,Pc,22-3969127
Portugal,100469.75,82566.04,2019-05-17,Electronics,Johns And Sons,Celine Tumasian,Aurelie Wren,Pc,80-2242820
Sweden,40831.52,34192.31,2019-04-26,Appliances,Labadie And Sons,Maxie Marrow,Madelon Bront,Pc,35-1705563
Italy,142353.07,116046.22,2019-07-24,Books,Dibbert Inc,Piggy Roscrigg,Joshua Prevost,Pc,93-9941140
Sweden,250315.06,218825.43,2019-07-08,Beauty,Mcglynn-Prosacco,Maxie Marrow,Alyosha Meah,Pc,36-2366573
Uk,100094.97,84690.35,2020-11-08,Games,"Swaniawski, Runolfsson And Green",Jessamine Apark,Genevra Charrisson,Pc,10-9932801
Uk,77128.75,65536.3,2020-08-09,Books,"Dickinson, Hyatt And Berge",Jessamine Apark,Jay Morefield,Mobile,70-8991739
France,176114.73,149257.23,2020-11-24,Electronics,Johns And Sons,Othello Bowes,Maighdiln Upcraft,Pc,97-4830372
France,146325.53,118333.46,2020-08-09,Games,Stehr-Bogan,Othello Bowes,Crysta Halls,Pc,95-8015610
Germany,161823.46,130494.44,2020-07-20,Clothing,Friesen-Rath,Rickard Doogood,Casie Macbain,Pc,84-1062113
Sweden,132632.97,112035.07,2019-04-23,Electronics,"Keeling, Monahan And Pollich",Maxie Marrow,Anita Woakes,Pc,05-5082715
Portugal,107232.99,85207.33,2020-03-08,Appliances,Hessel-Stiedemann,Celine Tumasian,Smitty Culverhouse,Pc,35-6942653
Sweden,120763.23,96719.27,2020-04-14,Clothing,"Murray, Reichel And Nolan",Maxie Marrow,Anita Woakes,Pc,79-6623911
Bulgaria,278731.9,221591.86,2019-12-05,Appliances,West-Cummings,Charil Alpe,Bernadine Fullagar,Pc,48-7662634
Bulgaria,138153.7,112926.83,2019-02-14,Games,Mcglynn-Bergstrom,Charil Alpe,Bernadine Fullagar,Pc,46-5888587
Ireland,68802.13,54635.77,2020-09-15,Beauty,Kirlin And Sons,Glenine Suttaby,Bunnie Tonbridge,Pc,17-3178991
Finland,35619.28,28192.66,2019-01-08,Electronics,"Murray, Reichel And Nolan",Hube Corey,Wat Bowkley,Pc,18-8528486
Uk,65014.84,53669.75,2020-03-27,Outdoors,"Dickinson, Hyatt And Berge",Jessamine Apark,Genevra Charrisson,Mobile,55-4588115
Germany,48922.42,39387.44,2020-10-19,Outdoors,"Murray, Reichel And Nolan",Rickard Doogood,Casie Macbain,Tablet,19-9073616
France,165262.34,142621.4,2020-05-19,Electronics,Altenwerth-Konopelski,Othello Bowes,Amelina Piscopiello,Mobile,96-0020600
Portugal,164117.24,133509.37,2020-05-28,Electronics,"Zieme, Bailey And Herzog",Celine Tumasian,Corene Shirer,Pc,88-7664123
Portugal,238085.99,193587.72,2020-07-16,Clothing,"Rowe, Hermiston And Kessler",Celine Tumasian,Hortense Gerring,Pc,17-8884817
Sweden,117733.51,97294.97,2019-07-13,Electronics,Connelly-Mohr,Maxie Marrow,Tarrah Castelletti,Pc,45-5509135
France,26713.46,22043.95,2020-10-12,Beauty,Wisoky Inc,Othello Bowes,Ora Grennan,Pc,81-4176165
France,49664.17,39244.63,2019-10-30,Books,"Swaniawski, Runolfsson And Green",Othello Bowes,Amelina Piscopiello,Pc,24-9702599
Sweden,162101.93,133912.4,2019-12-19,Smartphones,"Rowe, Hermiston And Kessler",Maxie Marrow,Tarrah Castelletti,Pc,24-4272786
France,118027.37,96050.67,2019-04-06,Beauty,Johns And Sons,Othello Bowes,Ora Grennan,Pc,77-3656041
Sweden,147994.63,129643.3,2019-01-27,Games,Stamm Inc,Maxie Marrow,Alyosha Meah,Pc,47-7207206
Finland,48946.74,38765.82,2019-04-19,Accessories,"Swaniawski, Runolfsson And Green",Hube Corey,Mellicent Mattys,Pc,65-2022928
Sweden,73860.57,60336.7,2020-11-13,Clothing,Mcglynn-Prosacco,Maxie Marrow,Madelon Bront,Pc,16-5837761
Portugal,86083.27,72309.95,2019-11-30,Electronics,Connelly-Mohr,Celine Tumasian,Hortense Gerring,Pc,80-7090422
Finland,72385.53,60181.33,2019-09-10,Clothing,Johns And Sons,Hube Corey,Wat Bowkley,Pc,66-8222460
Portugal,120332.26,102282.42,2020-01-14,Clothing,"Parisian, Steuber And Satterfield",Celine Tumasian,Hortense Gerring,Tablet,44-0527427
Sweden,81262.34,65326.8,2019-09-06,Books,Johns And Sons,Maxie Marrow,Anita Woakes,Mobile,75-9517276
Austria,139075.59,113708.2,2020-12-16,Games,"Murray, Reichel And Nolan",Orsa Geekin,Bank Coumbe,Pc,24-2403756
France,50516.2,43918.78,2019-03-22,Electronics,Wiza And Sons,Othello Bowes,Maighdiln Upcraft,Pc,50-1986322
Sweden,112228.82,97470.73,2019-09-15,Outdoors,Gislason-Stanton,Maxie Marrow,Madelon Bront,Pc,75-9585763
France,79833.6,63411.83,2019-06-15,Appliances,Mcglynn-Bergstrom,Othello Bowes,Avrit Chanders,Pc,86-6760202
Finland,135629.36,118526.5,2020-08-12,Games,Tillman And Sons,Hube Corey,Mellicent Mattys,Pc,66-7717800
Luxembourg,175332.04,144999.6,2020-09-24,Accessories,Hegmann Group,Ilsa Kob,Jocelyn Laurentino,Pc,89-8942175
Portugal,101923.36,86115.05,2019-01-19,Beauty,"Shanahan, Schaden And Parker",Celine Tumasian,Brynn Dempster,Mobile,38-0584273
Germany,190100.96,160749.37,2019-12-20,Electronics,Walter Llc,Rickard Doogood,Casie Macbain,Pc,38-8840357
Netherlands,152771.9,134423.99,2020-05-02,Clothing,Mcclure Inc,Denice Amberg,Nero Harbisher,Pc,82-4495901
France,52805.94,43791.97,2020-06-22,Smartphones,Kihn Inc,Othello Bowes,Amelina Piscopiello,Pc,81-2373308
Portugal,51416.24,43338.75,2020-04-15,Smartphones,"Spencer, Rogahn And Muller",Celine Tumasian,Aurelie Wren,Pc,15-0224516
Luxembourg,76426.54,66116.6,2019-03-16,Clothing,O'Connell-Mitchell,Ilsa Kob,Jocelyn Laurentino,Pc,95-6935153
France,118021.59,98229.37,2019-04-21,Beauty,"Lubowitz, Mclaughlin And Erdman",Othello Bowes,Maighdiln Upcraft,Pc,60-8661261
Portugal,59378.97,52176.3,2020-04-25,Appliances,Schoen-Keeling,Celine Tumasian,Corene Shirer,Pc,56-2783503
Spain,61325.25,49379.09,2020-07-29,Beauty,Hessel-Stiedemann,Emalia Dinse,Manuel Goudie,Tablet,95-1516475
France,80431.34,69774.19,2019-07-22,Beauty,Hessel-Stiedemann,Othello Bowes,Crysta Halls,Pc,32-5562588
Portugal,177919.14,147370.42,2020-06-07,Beauty,Walter Llc,Celine Tumasian,Aurelie Wren,Pc,70-7769332
Ireland,37520.09,32781.3,2020-05-27,Clothing,Kihn Inc,Glenine Suttaby,Bunnie Tonbridge,Mobile,07-6200800
Spain,68745.86,58014.63,2019-04-09,Electronics,Labadie And Sons,Emalia Dinse,Manuel Goudie,Pc,11-2988171
Denmark,69017.42,55897.21,2020-04-02,Electronics,Hegmann Group,Modestia Byfford,Case Desorts,Pc,38-3894304
France,48850.38,39788.63,2019-03-31,Appliances,"Spencer, Rogahn And Muller",Othello Bowes,Crysta Halls,Pc,33-6126082
Netherlands,253291.55,219502.46,2020-06-12,Books,Altenwerth-Konopelski,Denice Amberg,Nero Harbisher,Pc,25-4970452
Portugal,47186.74,38112.73,2019-07-28,Electronics,"Hartmann, Hane And Pfannerstill",Celine Tumasian,Aurelie Wren,Pc,34-8903845
Portugal,59670.68,51269.05,2019-09-10,Appliances,"Shanahan, Schaden And Parker",Celine Tumasian,Aurelie Wren,Pc,32-2110689
Portugal,228961.3,183764.34,2020-06-01,Appliances,Johns And Sons,Celine Tumasian,Hortense Gerring,Pc,37-8204282
France,165259.58,130703.8,2020-06-26,Outdoors,Armstrong-Little,Othello Bowes,Crysta Halls,Pc,46-1318487
France,219911.81,179426.05,2019-07-05,Clothing,Smith Group,Othello Bowes,Crysta Halls,Pc,99-3971751
Finland,55882.12,48561.56,2020-05-20,Clothing,"Murray, Reichel And Nolan",Hube Corey,Mellicent Mattys,Pc,24-7985425
France,16388.9,13430.7,2020-03-15,Electronics,West-Cummings,Othello Bowes,Crysta Halls,Pc,30-9690927
Spain,85927.37,74490.44,2019-04-15,Clothing,"Hartmann, Hane And Pfannerstill",Emalia Dinse,Perri Aldersley,Pc,37-5025811
France,161212.39,138046.17,2020-07-04,Accessories,Hilll-Vandervort,Othello Bowes,Crysta Halls,Pc,21-6670877
France,66678.38,53009.31,2019-03-04,Smartphones,Walter Llc,Othello Bowes,Amelina Piscopiello,Pc,34-3119010
Sweden,148243.05,120566.07,2020-12-07,Beauty,Johns And Sons,Maxie Marrow,Madelon Bront,Pc,54-7503816
Ireland,126523.36,106368.19,2020-05-14,Games,Gleichner-Green,Glenine Suttaby,Bunnie Tonbridge,Pc,96-1698894
Ireland,63373.72,55572.41,2020-03-03,Clothing,"Dickinson, Hyatt And Berge",Glenine Suttaby,Bunnie Tonbridge,Pc,92-0523700
Ireland,76767.77,64500.28,2020-01-22,Games,"Spencer, Rogahn And Muller",Glenine Suttaby,Bunnie Tonbridge,Pc,15-3657248
Portugal,78938.82,65471.86,2019-04-24,Games,"Fisher, Morar And Skiles",Celine Tumasian,Brynn Dempster,Pc,16-3423161
France,131864.04,110277.9,2019-04-09,Appliances,"Murray, Reichel And Nolan",Othello Bowes,Ora Grennan,Pc,67-2684209
Portugal,116774.43,98954.65,2019-04-21,Accessories,Labadie And Sons,Celine Tumasian,Hortense Gerring,Mobile,21-7344983
France,141112.84,120044.69,2020-08-08,Electronics,Gislason-Stanton,Othello Bowes,Avrit Chanders,Mobile,47-9701762
Bulgaria,33210.56,29109.06,2020-11-20,Books,Hessel-Stiedemann,Charil Alpe,Bernadine Fullagar,Pc,86-3876359
France,174392.33,141449.62,2020-08-03,Smartphones,Labadie And Sons,Othello Bowes,Ora Grennan,Pc,34-4313860
Sweden,204484.61,177308.61,2019-06-16,Games,"Hermiston, Simonis And Wisoky",Maxie Marrow,Caro Morfield,Tablet,71-4782689
Germany,80986.1,64124.79,2019-12-02,Appliances,"Dickinson, Hyatt And Berge",Rickard Doogood,Casie Macbain,Mobile,85-3690127
Sweden,179179.73,154936.71,2019-10-22,Books,"Zieme, Bailey And Herzog",Maxie Marrow,Anita Woakes,Pc,66-5810051
Netherlands,99731.4,84731.8,2020-01-12,Electronics,Smith Group,Denice Amberg,Nero Harbisher,Pc,81-9170157
France,32661.62,27922.42,2020-02-08,Electronics,"Zieme, Bailey And Herzog",Othello Bowes,Amelina Piscopiello,Pc,24-7300640
Sweden,30166.93,24658.45,2019-11-29,Appliances,Corwin And Sons,Maxie Marrow,Tarrah Castelletti,Pc,97-1288901
Germany,36747.24,31900.28,2019-01-19,Accessories,Johns And Sons,Rickard Doogood,Casie Macbain,Pc,81-9757849
France,66884.7,58544.18,2020-01-19,Smartphones,Wisoky Inc,Othello Bowes,Crysta Halls,Pc,44-9179070
Portugal,165305.7,134757.21,2019-07-13,Games,"Christiansen, Donnelly And Bechtelar",Celine Tumasian,Aurelie Wren,Pc,55-2137809
Sweden,50618.21,41835.95,2019-03-05,Beauty,Hegmann Group,Maxie Marrow,Tarrah Castelletti,Pc,56-1063618
Sweden,82116.31,70652.87,2020-05-30,Beauty,"Zieme, Bailey And Herzog",Maxie Marrow,Caro Morfield,Tablet,01-8080546
Sweden,106142.65,88151.47,2019-06-04,Games,Baumbach Group,Maxie Marrow,Anita Woakes,Pc,29-5632797
Portugal,149514.0,122646.33,2020-10-18,Games,"Bashirian, Okuneva And Bechtelar",Celine Tumasian,Smitty Culverhouse,Mobile,20-1191256
Sweden,30975.79,27072.84,2020-03-15,Clothing,Mcglynn-Bergstrom,Maxie Marrow,Tarrah Castelletti,Pc,33-4022317
France,165118.74,137527.4,2019-11-02,Clothing,Smith Group,Othello Bowes,Amelina Piscopiello,Pc,59-5892824
Germany,76652.73,64311.64,2020-08-04,Accessories,"Farrell, Swaniawski And Crist",Rickard Doogood,Casie Macbain,Pc,52-3394023
Uk,151632.33,120744.82,2020-07-14,Clothing,Armstrong-Little,Jessamine Apark,Winny Agnolo,Pc,89-5350599
France,35289.75,29424.59,2019-02-26,Smartphones,Armstrong-Little,Othello Bowes,Maighdiln Upcraft,Pc,92-6298656
France,77043.84,63245.29,2020-02-08,Outdoors,Armstrong-Little,Othello Bowes,Avrit Chanders,Pc,91-7317758
Portugal,59691.71,49239.69,2019-06-17,Other,Walter Llc,Celine Tumasian,Hortense Gerring,Pc,60-6055725
Portugal,181882.43,149834.75,2019-07-28,Books,Mcclure Inc,Celine Tumasian,Corene Shirer,Pc,33-2816759
Portugal,50796.04,44090.96,2019-09-21,Books,"Farrell, Swaniawski And Crist",Celine Tumasian,Hortense Gerring,Pc,05-2359767
Netherlands,73981.77,61959.73,2019-11-18,Clothing,"Hamill, Kulas And Roob",Denice Amberg,Nero Harbisher,Pc,73-9492768
Uk,105686.13,86694.33,2019-10-13,Outdoors,Johns And Sons,Jessamine Apark,Genevra Charrisson,Pc,31-6770318
Sweden,149376.26,123653.67,2020-01-31,Other,"Fisher, Morar And Skiles",Maxie Marrow,Alyosha Meah,Pc,52-0695511
Netherlands,85237.91,72384.03,2020-03-18,Smartphones,Armstrong-Little,Denice Amberg,Nero Harbisher,Pc,45-8314773
Luxembourg,104743.22,83281.33,2019-03-24,Electronics,Johns And Sons,Ilsa Kob,Jocelyn Laurentino,Mobile,53-0205940
Portugal,290551.74,239530.86,2020-12-14,Other,Hessel-Stiedemann,Celine Tumasian,Brynn Dempster,Pc,53-1660551
France,72314.73,57309.42,2019-08-27,Appliances,Johns And Sons,Othello Bowes,Ora Grennan,Pc,70-5394452
Netherlands,119858.15,99997.65,2020-11-19,Electronics,Mcglynn-Prosacco,Denice Amberg,Nero Harbisher,Pc,10-0386535
Portugal,119937.47,98720.53,2019-08-13,Games,"Hartmann, Hane And Pfannerstill",Celine Tumasian,Aurelie Wren,Pc,56-8476539
France,60592.4,52363.95,2019-02-22,Accessories,"Rowe, Hermiston And Kessler",Othello Bowes,Crysta Halls,Pc,04-7976277
Ireland,31966.82,26593.2,2020-08-24,Appliances,Johns And Sons,Glenine Suttaby,Palm Wetherald,Pc,21-2965409
Portugal,83226.45,71699.59,2020-11-22,Beauty,"Swaniawski, Runolfsson And Green",Celine Tumasian,Corene Shirer,Pc,04-2788693
Germany,51407.3,44292.53,2019-05-02,Clothing,Altenwerth-Konopelski,Rickard Doogood,Casie Macbain,Tablet,20-6477396
Germany,61968.26,50690.04,2020-12-27,Electronics,Romaguera-Dietrich,Rickard Doogood,Casie Macbain,Pc,22-7259031
Ireland,271465.15,217959.37,2019-07-03,Electronics,Corwin And Sons,Glenine Suttaby,Bunnie Tonbridge,Mobile,44-9239029
Sweden,86854.64,72219.63,2020-02-04,Books,Tillman And Sons,Maxie Marrow,Tarrah Castelletti,Pc,77-4566105
Ireland,119819.37,105441.05,2020-12-07,Smartphones,Dibbert Inc,Glenine Suttaby,Palm Wetherald,Pc,29-3662564
Uk,160763.9,131102.96,2019-04-18,Appliances,Mcglynn-Prosacco,Jessamine Apark,Genevra Charrisson,Pc,73-8057834
Sweden,44029.07,38344.92,2019-09-09,Other,Mcglynn-Bergstrom,Maxie Marrow,Alyosha Meah,Pc,87-9980890
France,86628.32,72464.59,2019-11-06,Appliances,Kihn Inc,Othello Bowes,Crysta Halls,Pc,98-8250897
Portugal,97641.25,83414.92,2020-10-17,Books,Morissette Group,Celine Tumasian,Brynn Dempster,Pc,98-3051699
Portugal,98746.66,80399.53,2020-02-10,Appliances,Considine-Fisher,Celine Tumasian,Smitty Culverhouse,Pc,75-7291972
France,109562.5,89917.94,2020-08-05,Appliances,"Dickinson, Hyatt And Berge",Othello Bowes,Maighdiln Upcraft,Pc,67-3672347
Uk,60301.96,48820.47,2019-02-08,Beauty,Wiza And Sons,Jessamine Apark,Jay Morefield,Pc,75-1785229
France,80781.62,68971.35,2019-01-19,Smartphones,Mcglynn-Prosacco,Othello Bowes,Ora Grennan,Mobile,53-1426071
France,238659.41,204507.25,2019-12-23,Appliances,Corwin And Sons,Othello Bowes,Amelina Piscopiello,Tablet,49-7167664
Uk,165631.75,139114.11,2019-09-03,Appliances,Johns And Sons,Jessamine Apark,Jay Morefield,Pc,07-7047482
Sweden,126682.79,106514.89,2019-06-11,Smartphones,"Murray, Reichel And Nolan",Maxie Marrow,Madelon Bront,Pc,57-1931933
Sweden,145558.0,116257.18,2019-12-20,Clothing,Konopelski Llc,Maxie Marrow,Tarrah Castelletti,Tablet,15-5167065
Spain,59163.79,50419.38,2019-03-11,Smartphones,Mcclure Inc,Emalia Dinse,Perri Aldersley,Mobile,98-9382686
Sweden,140352.81,122303.44,2019-12-01,Smartphones,Hilll-Vandervort,Maxie Marrow,Caro Morfield,Pc,47-5733147
France,163401.23,139413.93,2019-04-22,Clothing,Wisoky Inc,Othello Bowes,Avrit Chanders,Pc,98-2104934
Sweden,177867.3,140675.25,2020-10-03,Smartphones,Walter Llc,Maxie Marrow,Anita Woakes,Pc,30-6005742
Germany,58416.81,46745.13,2019-02-07,Clothing,Morissette Group,Rickard Doogood,Casie Macbain,Pc,21-7461655
Germany,169544.95,137568.77,2020-04-12,Appliances,"Keeling, Monahan And Pollich",Rickard Doogood,Casie Macbain,Mobile,96-7625873
Luxembourg,74732.79,64098.31,2020-02-24,Beauty,Mcclure Inc,Ilsa Kob,Jocelyn Laurentino,Pc,53-2132479
Portugal,55166.78,47443.43,2020-04-13,Books,Gislason-Stanton,Celine Tumasian,Hortense Gerring,Pc,70-4650708
France,99319.33,79127.71,2020-05-26,Games,Hessel-Stiedemann,Othello Bowes,Amelina Piscopiello,Pc,53-3037652
Sweden,118982.14,95506.96,2020-01-15,Clothing,Stehr-Bogan,Maxie Marrow,Caro Morfield,Mobile,76-0774122
Ireland,157007.52,126940.58,2019-08-31,Beauty,Friesen-Rath,Glenine Suttaby,Bunnie Tonbridge,Pc,72-3928347
France,49374.25,39208.09,2019-05-21,Books,Stehr Llc,Othello Bowes,Ora Grennan,Pc,87-1399932
Portugal,123891.6,104118.5,2019-07-23,Games,Hegmann Group,Celine Tumasian,Smitty Culverhouse,Pc,25-1045028
France,234340.31,204438.49,2020-12-13,Clothing,Hessel-Stiedemann,Othello Bowes,Avrit Chanders,Pc,70-0364033
Netherlands,95575.75,75504.84,2020-12-23,Books,Hessel-Stiedemann,Denice Amberg,Nero Harbisher,Pc,35-9372764
Finland,125280.28,99372.32,2019-10-18,Beauty,Romaguera-Dietrich,Hube Corey,Wat Bowkley,Pc,36-1142710
Portugal,127482.28,108614.9,2020-08-26,Beauty,Hilll-Vandervort,Celine Tumasian,Aurelie Wren,Pc,75-6291395
Portugal,120453.52,97218.04,2019-02-11,Beauty,"Schowalter, Lesch And Beahan",Celine Tumasian,Brynn Dempster,Pc,00-3338378
Portugal,120152.33,97527.65,2019-09-29,Outdoors,Romaguera-Dietrich,Celine Tumasian,Smitty Culverhouse,Pc,55-1904761
Portugal,95410.97,80593.65,2020-09-22,Books,"Murray, Reichel And Nolan",Celine Tumasian,Hortense Gerring,Mobile,70-9736399
France,128804.51,105709.86,2019-09-13,Appliances,Connelly-Mohr,Othello Bowes,Amelina Piscopiello,Tablet,20-3125420
Italy,26899.97,23198.53,2019-03-19,Games,Hessel-Stiedemann,Piggy Roscrigg,Joshua Prevost,Pc,57-2968987
Uk,123751.91,102590.33,2019-11-18,Smartphones,Johns And Sons,Jessamine Apark,Jay Morefield,Pc,76-2146784
Sweden,37081.31,31304.04,2019-03-11,Beauty,Mcglynn-Prosacco,Maxie Marrow,Anita Woakes,Pc,19-3129154
France,133905.55,116886.15,2020-08-01,Books,"Keeling, Monahan And Pollich",Othello Bowes,Avrit Chanders,Mobile,79-0973971
France,63298.61,53645.57,2020-04-10,Appliances,"Schowalter, Lesch And Beahan",Othello Bowes,Avrit Chanders,Mobile,65-5376517
France,274242.36,227950.25,2020-12-09,Outdoors,Hessel-Stiedemann,Othello Bowes,Amelina Piscopiello,Mobile,80-5258827
Luxembourg,312928.72,270401.71,2019-12-12,Beauty,Altenwerth-Konopelski,Ilsa Kob,Jocelyn Laurentino,Tablet,98-5257166
France,119156.18,100710.8,2019-08-20,Beauty,Johns And Sons,Othello Bowes,Ora Grennan,Pc,19-5610175
France,162123.74,133979.06,2020-04-14,Beauty,Johns And Sons,Othello Bowes,Maighdiln Upcraft,Pc,94-3509391
Ireland,65831.42,52487.39,2019-01-12,Electronics,"Christiansen, Donnelly And Bechtelar",Glenine Suttaby,Palm Wetherald,Pc,43-5417299
France,180515.09,148852.74,2019-12-26,Books,Franecki-White,Othello Bowes,Amelina Piscopiello,Pc,68-6141868
Uk,99114.91,84217.94,2020-04-04,Clothing,Johns And Sons,Jessamine Apark,Winny Agnolo,Pc,29-8979189
Portugal,171884.0,146702.99,2019-10-13,Games,Johns And Sons,Celine Tumasian,Smitty Culverhouse,Pc,58-9821508
Denmark,26745.94,22600.32,2019-11-10,Appliances,Larkin-Collier,Modestia Byfford,Case Desorts,Pc,49-1493117
Portugal,77087.84,65894.69,2020-05-17,Other,"Rowe, Hermiston And Kessler",Celine Tumasian,Aurelie Wren,Pc,51-5334556
France,87404.0,69363.81,2019-12-26,Electronics,Johns And Sons,Othello Bowes,Maighdiln Upcraft,Pc,79-3154360
France,47680.2,40575.85,2019-07-08,Clothing,Dibbert Inc,Othello Bowes,Crysta Halls,Pc,11-6024248
Finland,27824.83,23517.55,2019-09-06,Games,Mcclure Inc,Hube Corey,Wat Bowkley,Pc,61-4610981
Portugal,106516.4,86928.03,2019-03-21,Clothing,"Hartmann, Hane And Pfannerstill",Celine Tumasian,Smitty Culverhouse,Pc,12-4509008
France,141948.11,112948.11,2020-04-25,Books,Stehr Llc,Othello Bowes,Maighdiln Upcraft,Pc,46-5576111
Ireland,226021.18,180455.31,2019-07-18,Accessories,"Schowalter, Lesch And Beahan",Glenine Suttaby,Palm Wetherald,Pc,44-6718687
Italy,44232.84,38880.67,2020-02-20,Books,Johns And Sons,Piggy Roscrigg,Joshua Prevost,Tablet,67-7432229
Ireland,135344.52,117492.58,2019-01-17,Games,Tillman And Sons,Glenine Suttaby,Palm Wetherald,Pc,17-4401585
France,271411.92,231514.37,2019-12-09,Clothing,Hessel-Stiedemann,Othello Bowes,Amelina Piscopiello,Tablet,56-9241023
Portugal,125253.59,108269.2,2020-02-17,Smartphones,"Murray, Reichel And Nolan",Celine Tumasian,Corene Shirer,Pc,90-2194359
Sweden,15100.57,12113.68,2019-02-20,Games,"Murray, Reichel And Nolan",Maxie Marrow,Tarrah Castelletti,Pc,89-2424262
France,157932.84,134148.15,2020-01-31,Games,"Schowalter, Lesch And Beahan",Othello Bowes,Amelina Piscopiello,Pc,30-2982340
Portugal,64192.86,52837.14,2020-04-12,Appliances,Johns And Sons,Celine Tumasian,Brynn Dempster,Pc,10-4704941
Sweden,156453.01,128494.86,2020-10-04,Clothing,Johns And Sons,Maxie Marrow,Madelon Bront,Pc,48-3484986
Finland,53616.06,45589.74,2020-01-03,Appliances,Kihn Inc,Hube Corey,Wat Bowkley,Pc,84-4478396
Finland,163967.89,138208.53,2019-05-30,Appliances,Friesen-Rath,Hube Corey,Wat Bowkley,Tablet,28-0849652
Sweden,171748.56,136574.45,2020-11-20,Games,Walter Llc,Maxie Marrow,Madelon Bront,Pc,74-0214938
France,26103.94,22339.75,2020-08-31,Appliances,"Fisher, Morar And Skiles",Othello Bowes,Ora Grennan,Tablet,89-0187996
Portugal,140337.34,115708.14,2020-09-04,Appliances,Hegmann Group,Celine Tumasian,Corene Shirer,Pc,65-8218141
Sweden,33617.03,26614.6,2020-04-07,Appliances,Altenwerth-Konopelski,Maxie Marrow,Madelon Bront,Pc,49-8489293
Portugal,187874.45,160031.46,2019-06-26,Accessories,Johns And Sons,Celine Tumasian,Hortense Gerring,Pc,91-8142232
Finland,41675.01,33765.09,2019-06-25,Beauty,"Hamill, Kulas And Roob",Hube Corey,Wat Bowkley,Pc,75-5380350
Portugal,34930.08,28017.42,2019-11-01,Appliances,Kihn Inc,Celine Tumasian,Smitty Culverhouse,Pc,35-4551515
Finland,127994.87,105800.56,2020-09-01,Books,Hegmann Group,Hube Corey,Mellicent Mattys,Pc,73-2763209
Portugal,162637.68,130402.89,2019-09-27,Clothing,Larkin-Collier,Celine Tumasian,Corene Shirer,Pc,56-0800364
Portugal,40728.28,35669.83,2019-09-22,Beauty,Romaguera-Haley,Celine Tumasian,Hortense Gerring,Mobile,42-7027181
Finland,293767.28,254079.32,2020-06-05,Games,West-Cummings,Hube Corey,Wat Bowkley,Pc,29-0601002
Sweden,57913.36,48693.55,2019-09-11,Games,"Murray, Reichel And Nolan",Maxie Marrow,Alyosha Meah,Pc,90-2797129
Uk,63979.04,56032.84,2019-10-22,Games,Schoen-Keeling,Jessamine Apark,Genevra Charrisson,Pc,27-3437546
France,102255.86,83379.43,2020-11-12,Smartphones,Rath-Schroeder,Othello Bowes,Avrit Chanders,Pc,78-3726363
Finland,107271.94,86665.0,2020-08-23,Games,Johns And Sons,Hube Corey,Wat Bowkley,Pc,78-8990131
Austria,51090.76,40739.77,2020-03-12,Electronics,Smith Group,Orsa Geekin,Bank Coumbe,Pc,85-2223377
Sweden,102299.92,81706.95,2019-08-22,Beauty,"Rowe, Hermiston And Kessler",Maxie Marrow,Alyosha Meah,Pc,73-9246627
